,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
943,Shalby Hospitals,Healthcare | 1k-5k Employees | Public | 30 years old | Ahmedabad +23 more,4.6,"Skill Development / Learning, Company Culture, Work Life Balance",,758,1.9k,23,35,55,1
944,Nilkamal,Furniture & Furnishing | 1k-5k Employees | Public | 43 years old | Mumbai +95 more,3.9,,"Promotions / Appraisal, Salary & Benefits",757,3.3k,35,15,84,--
945, Sundaram Clayton,Auto Components | 1k-5k Employees | Public | 62 years old | Chennai +24 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",,754,3k,19,--,93,--
946,Pristyn Care,Healthcare | 1k-5k Employees | Indian Unicorn | 6 years old | Delhi +26 more,3.6,,"Work Life Balance, Job Security, Work Satisfaction",754,3.3k,47,158,173,--
947,FLSmidth,Industrial Machinery | 1k-5k Employees | 142 years old | Copenhagen +19 more,3.7,Work Life Balance,"Job Security, Promotions / Appraisal, Salary & Benefits",753,4.4k,25,26,113,--
948,VIP Industries,Retail | 1k-5k Employees | Public | 53 years old | Mumbai +83 more,4.0,,Promotions / Appraisal,752,3k,22,6,90,2
949,PayPal,FinTech | 1k-5k Employees | Forbes Global 2000 | 26 years old | San Jose +11 more,3.9,"Salary & Benefits, Company Culture, Work Life Balance","Promotions / Appraisal, Job Security",750,7.2k,128,29,125,6
950,SLK Global Services,BPO | 1k-5k Employees | 24 years old | Dallas +8 more,3.9,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",749,3.6k,20,5,102,--
951,CALIBEHR,Recruitment | 10k-50k Employees | 45 years old | Mumbai +123 more,4.0,,Promotions / Appraisal,747,2.6k,46,24,61,--
952,Orchids International School,Education & Training | 1k-5k Employees | 20 years old | Nasik/Nashik +26 more,3.0,,"Promotions / Appraisal, Work Satisfaction, Job Security",747,3.1k,68,69,55,--
953,eClinicalWorks,Software Product | 1k-5k Employees | 25 years old | Westborough +13 more,3.9,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,746,4.9k,35,12,169,1
954,Fusion Microfinance,NBFC | 10k-50k Employees | 14 years old | Delhi +201 more,4.1,"Job Security, Company Culture, Work Life Balance",,746,2.3k,25,18,74,1
955,Gmmco,Industrial Machinery | 1k-5k Employees | 57 years old | Chennai +79 more,4.2,"Skill Development / Learning, Job Security, Work Satisfaction",,746,2.6k,25,4,115,1
956,Incedo,IT Services & Consulting | 1k-5k Employees | 13 years old | Iselin +10 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Job Security",746,7.5k,92,53,119,17
957,Visionet Systems,IT Services & Consulting | 1k-5k Employees | 29 years old | Cranbury +10 more,3.3,,"Promotions / Appraisal, Job Security, Salary & Benefits",745,5.3k,45,44,93,--
958,Nirma,FMCG | 10k-50k Employees | Fortune India 500 | 34 years old | Ahmedabad +54 more,4.3,"Job Security, Work Life Balance, Work Satisfaction",,744,3.1k,32,1,124,1
959,Mahindra First Choice Wheels,Internet | 1k-5k Employees | 30 years old | Mumbai +107 more,3.9,,Promotions / Appraisal,744,3.3k,27,20,78,--
960,AstraZeneca,Pharma | 501-1k Employees | Public | 25 years old | Cambridge +39 more,4.2,"Work Life Balance, Company Culture, Job Security",,744,6.2k,27,3,167,--
961,Next Education India,EdTech | 1k-5k Employees | 17 years old | Hyderabad/Secunderabad +81 more,3.8,,"Job Security, Promotions / Appraisal",744,3.3k,31,27,126,--
962,Egis  India Consulting Engineers,Engineering & Construction | 1k-5k Employees | 19 years old | Gurgaon/Gurugram +99 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",,743,2.5k,35,5,106,--
963,JTEKT,Auto Components | 1k-5k Employees | Public | 18 years old | Osaka +23 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,742,3.7k,43,--,99,--
964,Perfetti Van Melle,Food Processing | 1k-5k Employees | 23 years old | Lainate +123 more,4.4,"Company Culture, Skill Development / Learning, Work Satisfaction",,742,2.5k,19,14,96,2
965,MakeMyTrip,Internet | 5k-10k Employees | Public | 24 years old | Gurgaon +37 more,3.7,,Promotions / Appraisal,740,6.3k,63,180,97,11
966,KIMS Hospital,Healthcare | 1k-5k Employees | 12 years old | Hyderabad/Secunderabad +40 more,4.1,"Skill Development / Learning, Job Security, Work Life Balance",,740,2.7k,22,--,79,--
967,LOREAL,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 33 years old | Clichy +81 more,4.1,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,740,3.5k,49,38,106,1
968,Air India,Aviation | 10k-50k Employees | Central | 94 years old | Delhi/NCR +51 more,4.1,"Skill Development / Learning, Work Life Balance, Job Security",,738,3.3k,73,5,119,--
969,Hikal,Pharma | 1k-5k Employees | 36 years old | Mumbai +18 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,734,3.9k,47,38,88,--
970,Caratlane Trading,Jewellery | 1k-5k Employees | 16 years old | Chennai +55 more,4.3,"Company Culture, Skill Development / Learning, Job Security",,733,1.9k,37,51,90,25
971,Pacific BPO,BPO | 1k-5k Employees | 14 years old | Noida +14 more,3.6,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",732,3.5k,44,4,75,5
972,VeeTechnologies,IT Services & Consulting | 1k-5k Employees | 24 years old | New York +25 more,3.8,Job Security,,732,4.1k,50,112,81,--
973,MAHLE ANAND Filter Systems,Auto Components | 1k-5k Employees | 19 years old | Stuttgart +25 more,4.1,"Job Security, Company Culture, Work Life Balance",,730,3k,23,--,121,--
974,Birla Corporation,Building Material | 5k-10k Employees | Public | 105 years old | Kolkata +110 more,4.2,"Job Security, Work Life Balance, Company Culture",,730,3.2k,40,--,86,2
975,INDO-MIM ,Industrial Machinery | 1k-5k Employees | 26 years old | Bangalore/Bengaluru +20 more,4.3,"Job Security, Work Life Balance, Skill Development / Learning",,729,3.6k,32,5,122,--
976,HFCL,Hardware & Networking | 1k-5k Employees | Public | 37 years old | Delhi/NCR +92 more,4.2,"Work Life Balance, Job Security, Skill Development / Learning",,729,3.4k,40,2,88,2
977,Teva Pharmaceuticals,Pharma | 1k-5k Employees | Forbes Global 2000 | 45 years old | Dublin +33 more,4.2,"Work Life Balance, Company Culture, Job Security",,729,3.9k,47,17,137,--
978,Fluor Corporation,Forbes Global 2000 | Gurgaon / Gurugram +22 more,4.3,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,728,2.1k,17,--,12,--
979,Vedanta Aluminium,Metals & Mining | 1k-5k Employees | 21 years old | Jharsuguda +31 more,3.9,"Salary & Benefits, Job Security","Work Satisfaction, Promotions / Appraisal, Work Life Balance",725,4k,28,--,116,2
980,C&S Electric,Electrical Equipment | 5k-10k Employees | 58 years old | Delhi/NCR +47 more,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits",723,3.6k,30,10,95,13
981,ICICI Prudential Mutual Fund,Financial Services | 1k-5k Employees | 31 years old | New Delhi +133 more,3.8,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",723,4.3k,43,--,86,--
982,SitusAMC,Software Product | 1k-5k Employees | Gurgaon / Gurugram +17 more,3.3,,"Job Security, Promotions / Appraisal, Skill Development / Learning",723,4k,48,33,46,--
983,Prodapt,IT Services & Consulting | 1k-5k Employees | 25 years old | Chennai +11 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",721,6.8k,54,38,80,11
984,Capital Numbers Infotech,IT Services & Consulting | 501-1k Employees | 12 years old | Kolkata +15 more,4.7,"Work Life Balance, Company Culture, Work Satisfaction",,721,947,23,2,--,121
985,CADD Centre Training Services,Education & Training | 1k-5k Employees | 36 years old | Chennai +126 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",719,2.6k,22,19,94,--
986,Webhelp,BPO | 1k-5k Employees | 24 years old | Paris +14 more,3.8,Job Security,"Promotions / Appraisal, Skill Development / Learning",717,4.4k,46,--,97,3
987,Orion Edutech,EdTech | 5k-10k Employees | 18 years old | Kolkata +105 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Job Security",716,2.1k,17,--,77,--
988,Troikaa Pharmaceuticals,Pharma | 1k-5k Employees | 41 years old | Ahmedabad +67 more,3.8,,Job Security,716,3k,38,18,84,--
989,Patra Corporation,BPO | 1k-5k Employees | 19 years old | El Dorado Hills +14 more,3.8,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal",716,3.3k,48,4,82,--
990,Future Focus Infotech,IT Services & Consulting | 5k-10k Employees | 27 years old | Chennai +55 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",716,4.6k,35,23,50,--
991,Metropolis Healthcare,Healthcare | 1k-5k Employees | Conglomerate | 44 years old | Mumbai +82 more,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,716,3k,37,10,--,1
992,Better.com,Financial Services | 1k-5k Employees | Startup | 8 years old | New York City +5 more,3.0,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal",716,4.2k,40,94,123,--
993,Pernod Ricard,Beverage | 1k-5k Employees | Forbes Global 2000 | 49 years old | Paris +96 more,3.9,Salary & Benefits,Promotions / Appraisal,714,3.8k,31,17,117,6
994,Air India Sats Airport Services,Aviation | 1k-5k Employees | 14 years old | Mumbai +31 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",713,2.1k,41,--,69,--
995,Skill Lync ,EdTech | 1k-5k Employees | Startup | 9 years old | Palo Alto +13 more,3.1,,"Job Security, Promotions / Appraisal, Work Satisfaction",713,3.4k,80,76,32,4
996,Ford Business Solutions,IT Services & Consulting | 10k-50k Employees | 26 years old | Chennai +41 more,4.5,"Company Culture, Work Life Balance, Work Satisfaction",,712,3.1k,31,--,30,--
997,TNQ Technologies,Printing & Publishing | 1k-5k Employees | 26 years old | Chennai +9 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",711,3.5k,39,11,80,--
998,Zoho,Software Product | 10k-50k Employees | 28 years old | Chennai +21 more,4.3,"Job Security, Company Culture, Work Life Balance",,711,6.7k,208,2,125,22
999,Uber,Internet | 1k-5k Employees | Public | 15 years old | San Francisco +43 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,711,6.9k,94,60,105,12
1000,Mu Sigma,Analytics & KPO | 1k-5k Employees | Indian Unicorn | 20 years old | Northbrook +8 more,3.0,,"Work Life Balance, Salary & Benefits, Company Culture",710,6.6k,125,6,123,11
1001,Thomas Cook,Travel & Tourism | 1k-5k Employees | Public | 143 years old | Mumbai +75 more,3.8,,"Promotions / Appraisal, Salary & Benefits",709,4k,30,1,90,--
1002,NextComm Corporation,1k-5k Employees | 7 years old | Ahmedabad +10 more,4.8,"Promotions / Appraisal, Work Life Balance, Company Culture",,709,6,3,--,31,3
1003,SBFC Finance,NBFC | 1k-5k Employees | 7 years old | Mumbai +153 more,3.8,,Promotions / Appraisal,708,2.2k,37,65,52,4
1004,Otis Elevator,Industrial Machinery | 1k-5k Employees | 171 years old | Farmington +60 more,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,707,3.4k,34,77,89,3
1005,Neel Metal Products,Metals & Mining | 501-1k Employees | 41 years old | Gurgaon +30 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,703,2.9k,28,3,70,--
1006,C.R.I. Pumps,Industrial Machinery | 1k-5k Employees | 63 years old | Coimbatore +56 more,3.9,Skill Development / Learning,Promotions / Appraisal,702,2.9k,17,11,79,2
1007,Wheels,Auto Components | 1k-5k Employees | Public | 62 years old | Chennai +32 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,700,4.6k,38,2,81,--
1008,Amara Raja Group,Auto Components | 5k-10k Employees | Public | 39 years old | Bangalore/Bengaluru +55 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,700,3.1k,54,16,109,--
1009,Yashoda Hospitals,Healthcare | 501-1k Employees | 35 years old | Ghaziabad +23 more,3.9,Skill Development / Learning,Promotions / Appraisal,699,3.1k,30,30,86,--
1010,GVPR Engineers,Engineering & Construction | 501-1k Employees | Public | 27 years old | Hyderabad/Secunderabad +66 more,4.0,Work Life Balance,,699,2.6k,44,5,146,--
1011,Quest Retail Private Limited,Retail | 501-1k Employees | 19 years old | Gurgaon/Gurugram +71 more,4.5,"Skill Development / Learning, Job Security, Company Culture",,698,787,9,1,247,61
1012,Toppr,EdTech | 1k-5k Employees | Startup | 11 years old | Mumbai +43 more,3.5,,"Job Security, Promotions / Appraisal, Work Life Balance",698,4.6k,65,77,98,12
1013,Schaeffler India,Auto Components | 1k-5k Employees | Public | 78 years old | Mumbai +19 more,4.2,"Job Security, Work Life Balance, Company Culture",,698,4.1k,33,1,115,1
1014,Indira IVF Hospital,Healthcare | 1k-5k Employees | 9 years old | Mumbai +86 more,4.0,"Skill Development / Learning, Work Life Balance, Company Culture",,696,2.3k,30,100,77,--
1015,Huhtamaki,Packaging | 1k-5k Employees | 89 years old | Espoo +32 more,3.9,Skill Development / Learning,Promotions / Appraisal,695,2.8k,16,32,89,--
1016,Bank of India,Banking | 50k-1 Lakh Employees | Fortune India 500 | 118 years old | Mumbai +156 more,4.0,"Job Security, Salary & Benefits",,694,2.8k,37,1,91,11
1017,Federal Bank,Banking | 10k-50k Employees | Public | 93 years old | Aluva +113 more,4.0,"Job Security, Salary & Benefits",Promotions / Appraisal,694,4.2k,81,--,73,--
1018,Pramerica Life Insurance,Insurance | 1k-5k Employees | 10 years old | Gurgaon +116 more,3.9,Work Life Balance,,693,2.6k,20,74,71,--
1019,Shriram General Insurance,Insurance | 1k-5k Employees | 16 years old | Jaipur +156 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture",693,2.9k,26,2,54,--
1020,Alok Industries,Fashion & Textile | 10k-50k Employees | Public | 38 years old | Mumbai +27 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",693,3k,29,3,84,--
1021,Aviva Life Insurance India,Insurance | 1k-5k Employees | Forbes Global 2000 | 328 years old | London +103 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",692,2.6k,18,--,63,--
1022,Centre for Development of Advanced Computing,IT Services & Consulting | 1k-5k Employees | 36 years old | Pune +28 more,3.9,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",692,4.9k,50,--,62,--
1023,Suzuki Motorcycle,Automobile | 1k-5k Employees | 27 years old | Hamamatsu-shi +102 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,691,3.6k,24,1,95,1
1024,Vertiv,IT Services & Consulting | 51-200 Employees (Global) | Startup | 8 years old | Columbus +48 more,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,691,3k,31,18,10,4
1025,Willis Towers Watson,Financial Services | 1k-5k Employees | Forbes Global 2000 | 8 years old | London +15 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,690,6.3k,58,31,101,--
1026,Leadec India,Facility Management Services | 1k-5k Employees | 62 years old | Stuttgart +50 more,4.0,,Promotions / Appraisal,690,3.2k,44,14,91,10
1027,Everest Industries,Building Material | 1k-5k Employees | Public | 90 years old | Noida +69 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,689,2.8k,26,2,88,--
1028,Meril,Medical Equipment | 1k-5k Employees | 18 years old | Vapi +62 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",688,3.5k,35,36,75,18
1029,Test Yantra Software Solutions,IT Services & Consulting | 1k-5k Employees | Public | 17 years old | Bangalore/Bengaluru +15 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Job Security",687,13.6k,70,29,138,--
1030,Centum Electronics,Electronics Manufacturing | 1k-5k Employees | Public | 30 years old | Bangalore/Bengaluru +12 more,3.9,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",687,3.7k,13,18,111,--
1031,Aarvi Encon,Recruitment | 5k-10k Employees | Public | 37 years old | Mumbai +90 more,4.1,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Job Security",686,2.6k,41,9,67,--
1032,Gharda Chemicals,Chemicals | 1k-5k Employees | 57 years old | Mumbai +53 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,685,3.6k,33,2,108,--
1033,Columbia Asia,Healthcare | 1k-5k Employees | 19 years old | Bangalore/Bengaluru +21 more,4.4,"Company Culture, Skill Development / Learning, Job Security",,685,2.1k,16,--,99,--
1034,Marks & Spencer,Retail | 1k-5k Employees | Forbes Global 2000 | 140 years old | London +55 more,4.1,"Job Security, Company Culture, Work Life Balance",,685,2.7k,22,23,121,--
1035,Grant Thornton,Accounting & Auditing | 5k-10k Employees | 100 years old | Chicago +46 more,3.8,Job Security,Promotions / Appraisal,685,8k,62,109,85,--
1036,Napino Auto & Electronics,Auto Components | 5k-10k Employees | Public | 27 years old | Gurgaon/Gurugram +15 more,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",,684,3.4k,33,--,81,2
1037,Dunzo,Internet | 1k-5k Employees | Startup | 10 years old | Bangalore +17 more,3.5,,"Job Security, Promotions / Appraisal, Skill Development / Learning",684,3.2k,62,24,28,5
1038,DLF,Real Estate | 501-1k Employees | Public | 78 years old | Gurgaon/Gurugram +28 more,4.0,Salary & Benefits,Promotions / Appraisal,683,3.5k,55,13,72,5
1039,THE LEELA PALACES HOTELS & RESORTS,Hospitality | 1k-5k Employees | Conglomerate | 41 years old | Mumbai +28 more,4.1,"Job Security, Skill Development / Learning",,682,2.4k,23,1,108,--
